Направление;Ключевое слово;Частота Yandex;Частота Google;Подпапка;Затравка;Намерение
конкуренты и бренды;график в экселе;13131;0;;эксель;общий
конкуренты и бренды;графики в эксель;13131;0;;эксель;общий
конкуренты и бренды;ссылка в экселе;13119;0;;эксель;общий
конкуренты и бренды;ссылка в эксель;13119;0;;эксель;общий
конкуренты и бренды;наибольший в эксель;13113;0;;эксель;общий
конкуренты и бренды;создать excel;13073;0;;excel;общий
конкуренты и бренды;excel текст ячейка;13070;0;;excel;общий
импортозамещение и закупка;великая отечественная война по;12942;0;;отечественное по;общий
конкуренты и бренды;формула ячейка в excel;12930;0;;excel;общий
конкуренты и бренды;одинаковые в эксель;12894;0;;эксель;общий
конкуренты и бренды;эксель формула число;12855;0;;эксель;общий
конкуренты и бренды;excel найти;12838;0;;excel;общий
конкуренты и бренды;перевод в эксель;12690;0;;эксель;общий
конкуренты и бренды;эксель быстро;12562;0;;эксель;общий
